state,Management,Year,Location,total.coral,total.macroalgae
Shifted,Protected,2011,Ste Anne Carbonate,0.25,40
Shifted,Protected,2014,Ste Anne Carbonate,15.375,33.5
Shifted,Protected,2017,Ste Anne Carbonate,1.625,47.75
Recovering,Protected,1994,Ste Anne Granite,33.5,2
Recovering,Protected,2005,Ste Anne Granite,12.875,0.125
Recovering,Protected,2008,Ste Anne Granite,14,0.625
Recovering,Protected,2011,Ste Anne Granite,20.375,1.5
Recovering,Protected,2014,Ste Anne Granite,13.875,20
Recovering,Protected,2017,Ste Anne Granite,4.25,7
Recovering,Protected,1994,Ste Anne Patch,49.75,0
Recovering,Protected,2005,Ste Anne Patch,4.25,0
Recovering,Protected,2008,Ste Anne Patch,14.625,2.5
Recovering,Protected,2011,Ste Anne Patch,14.125,9.75
Recovering,Protected,2014,Ste Anne Patch,44.25,0.75
Recovering,Protected,2017,Ste Anne Patch,3.625,2.5
