"Location","state","Management","Year","Diet","abundance.500m2","biomass.kgha","prod_yr_F0.2","depthS","str.complexS","total.coralS","total.deadS","macroalgaeS","habitat"
"Cousin Carbonate","Shifted","Protected","2008","InvSes",1.6240300315,3.518156806875,1.78070502916143,-1.45133377420111,0.391439184511217,-0.972537446070144,-0.507043162526657,1.23679585026382,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2008","Omnivr",6.090112618125,22.70794126,7.64208060348869,-1.45133377420111,0.391439184511217,-0.972537446070144,-0.507043162526657,1.23679585026382,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2008","Plktiv",0,0,0,-1.45133377420111,0.391439184511217,-0.972537446070144,-0.507043162526657,1.23679585026382,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2011","FisCep",3.654067570875,51.38505411125,11.6136331418985,-0.781691941194946,-0.0250575256521024,-1.03633104206789,-0.507043162526657,1.9668541086079,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2011","HerDet",50.3449309765,394.7497487235,101.965005049565,-0.781691941194946,-0.0250575256521024,-1.03633104206789,-0.507043162526657,1.9668541086079,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2011","HerMac",23.54843545675,129.77766109,53.9741643626332,-0.781691941194946,-0.0250575256521024,-1.03633104206789,-0.507043162526657,1.9668541086079,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2011","InvMob",51.15694599225,142.652429466125,57.6233462946578,-0.781691941194946,-0.0250575256521024,-1.03633104206789,-0.507043162526657,1.9668541086079,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2011","InvSes",3.654067570875,23.455070782875,8.82040068006139,-0.781691941194946,-0.0250575256521024,-1.03633104206789,-0.507043162526657,1.9668541086079,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2011","Omnivr",2.43604504725,5.683298686875,2.25209543327089,-0.781691941194946,-0.0250575256521024,-1.03633104206789,-0.507043162526657,1.9668541086079,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2011","Plktiv",0,0,0,-0.781691941194946,-0.0250575256521024,-1.03633104206789,-0.507043162526657,1.9668541086079,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2014","FisCep",3.654067570875,29.390578100375,10.2367882517798,-0.8673438035562,-0.19165620971743,-1.02721767121107,-0.507043162526657,2.26669946471351,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2014","HerDet",32.074593122125,284.828697609,70.5399480660726,-0.8673438035562,-0.19165620971743,-1.02721767121107,-0.507043162526657,2.26669946471351,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2014","HerMac",45.472840882,241.24204096125,120.498312900299,-0.8673438035562,-0.19165620971743,-1.02721767121107,-0.507043162526657,2.26669946471351,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2014","InvMob",60.0891111655,125.356702371625,53.1345493524882,-0.8673438035562,-0.19165620971743,-1.02721767121107,-0.507043162526657,2.26669946471351,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2014","InvSes",1.6240300315,1.46924441875,0.826036212518557,-0.8673438035562,-0.19165620971743,-1.02721767121107,-0.507043162526657,2.26669946471351,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2014","Omnivr",0.81201501575,1.147479531125,1.03139604257292,-0.8673438035562,-0.19165620971743,-1.02721767121107,-0.507043162526657,2.26669946471351,"Carbonate"
"Cousin Carbonate","Shifted","Protected","2014","Plktiv",0,0,0,-0.8673438035562,-0.19165620971743,-1.02721767121107,-0.507043162526657,2.26669946471351,"Carbonate"
"Cousin Granite","Shifted","Protected","1994","FisCep",8.526157665375,134.25025267675,50.8749868854654,-0.47023062351766,1.14113326280519,0.777229758439419,NA,-0.542721154449899,"Granite"
"Cousin Granite","Shifted","Protected","1994","HerDet",38.570713248125,169.071994660375,57.1244565971015,-0.47023062351766,1.14113326280519,0.777229758439419,NA,-0.542721154449899,"Granite"
"Cousin Granite","Shifted","Protected","1994","HerMac",4.466082586625,38.216836795,7.31773931728711,-0.47023062351766,1.14113326280519,0.777229758439419,NA,-0.542721154449899,"Granite"
"Cousin Granite","Shifted","Protected","1994","InvMob",35.728660693,171.68098994525,52.0561774276174,-0.47023062351766,1.14113326280519,0.777229758439419,NA,-0.542721154449899,"Granite"
"Cousin Granite","Shifted","Protected","1994","InvSes",25.984480504,25.1404669905,5.32167625217368,-0.47023062351766,1.14113326280519,0.777229758439419,NA,-0.542721154449899,"Granite"
"Cousin Granite","Shifted","Protected","1994","Omnivr",78.359449019875,67.77251421825,8.79729976605744,-0.47023062351766,1.14113326280519,0.777229758439419,NA,-0.542721154449899,"Granite"
"Cousin Granite","Shifted","Protected","1994","Plktiv",2.43604504725,1.1491429135,0.339088794072181,-0.47023062351766,1.14113326280519,0.777229758439419,NA,-0.542721154449899,"Granite"
"Cousin Granite","Shifted","Protected","2005","FisCep",1.6240300315,20.94448669525,7.2953739269914,-0.991928330627115,-0.0250575256521024,-0.990764187783785,-0.222093286065395,-0.268949307570866,"Granite"
"Cousin Granite","Shifted","Protected","2005","HerDet",29.232540567,183.042900579125,35.4697655886595,-0.991928330627115,-0.0250575256521024,-0.990764187783785,-0.222093286065395,-0.268949307570866,"Granite"
"Cousin Granite","Shifted","Protected","2005","HerMac",8.93216517325,76.76142958,14.8762305384286,-0.991928330627115,-0.0250575256521024,-0.990764187783785,-0.222093286065395,-0.268949307570866,"Granite"
