"state","Management","Year","Diet","Location","biomass.kgha","prod_yr_kgha","prod_yr_F0.2","net.turn","net.turnF"
"Recovering","Fished",2011,"HerMac","Praslin SW Granite",38.15078754,10.13642491,9.15539402,26.56937266,23.99791619
"Recovering","Fished",2014,"HerMac","Praslin SW Granite",67.48132827,12.12341784,10.82371328,17.96558864,16.03956762
"Recovering","Fished",2017,"HerMac","Praslin SW Granite",71.68258176,31.91727441,29.73938254,44.52584383,41.48759965
"Recovering","Fished",1994,"InvMob","Praslin SW Granite",96.06451471,28.07251222,26.71090604,29.22256184,27.80517459
"Recovering","Fished",2005,"InvMob","Praslin SW Granite",66.47865376,28.70270454,27.74230138,43.17582098,41.73114197
"Recovering","Fished",2008,"InvMob","Praslin SW Granite",84.53517992,30.73278236,29.47870058,36.35502094,34.87151812
"Recovering","Fished",2011,"InvMob","Praslin SW Granite",141.8709862,61.47235205,58.78804076,43.32975594,41.43767683
"Recovering","Fished",2014,"InvMob","Praslin SW Granite",138.4507506,56.98886731,55.2818731,41.16183339,39.92890818
"Recovering","Fished",2017,"InvMob","Praslin SW Granite",192.1830288,75.60083732,73.20492405,39.33793623,38.09125318
"Shifted","Fished",1994,"FisCep","Praslin SW Patch",13.83517699,8.862203843,8.622659653,64.05558709,62.3241731
"Shifted","Fished",2005,"FisCep","Praslin SW Patch",3.601257875,4.963764807,4.963764807,137.8341951,137.8341951
"Shifted","Fished",2008,"FisCep","Praslin SW Patch",41.58729886,25.39448728,24.25412344,61.0630841,58.32098767
"Shifted","Fished",2011,"FisCep","Praslin SW Patch",3.689804352,3.800750996,3.800750996,103.0068436,103.0068436
"Shifted","Fished",2014,"FisCep","Praslin SW Patch",9.780475076,7.717159926,7.638774062,78.90373286,78.10228034
"Shifted","Fished",2017,"FisCep","Praslin SW Patch",55.62165278,26.09970888,23.70068506,46.92364857,42.61053722
