"species","Location","Year","Habitat","count","Family","Length","a","b","lat","lon","Management","MaxSizeTL","sstmean","Diet","Position","Method","Length2","Kmax","Kmax_lowq","Kmax_uppq","L.1day","EstAge","Md","SurvivalDay","prod_day","prod_yr"
"Halichoeres hortulanus","Cousin Carbonate",1994,"Carbonate",7,"Labridae",13,0.0222,3,-4.332921,55.658746,"Protected",27,28,"InvMob","BtPlDw","Otolth",13,0.318838387727737,0.278728596866131,0.370843566954136,13.0122240777859,2.05991361664364,0.00280449537496281,0.997199433548451,0.13771630049186,38.1965799635307
"Halichoeres hortulanus","Cousin Carbonate",1994,"Carbonate",2,"Labridae",19,0.0222,3,-4.332921,55.658746,"Protected",27,28,"InvMob","BtPlDw","Otolth",19,0.318838387727737,0.278728596866131,0.370843566954136,19.0069851873062,3.81508429080126,0.00152233498405608,0.998478823180067,0.168003814356808,49.2116324276569
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",3,"Labridae",11,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",11,0.314431041479111,0.267369754612446,0.364618271589279,11.0060275877369,3.00371618653814,0.00201857411138127,0.997983461839204,0.0470680906226235,12.3789983301611
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",8,"Labridae",15,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",15,0.314431041479111,0.267369754612446,0.364618271589279,15.0025832518872,5.69841788138812,0.0012251238514795,0.99877562630637,0.0374958996956138,10.9129957494551
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",6,"Labridae",12,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",12,0.314431041479111,0.267369754612446,0.364618271589279,12.0051665037744,3.49396892717762,0.00175470905009143,0.998246829551769,0.0480071502193056,12.1559203732227
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",3,"Labridae",15,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",15,0.314431041479111,0.267369754612446,0.364618271589279,15.0025832518872,5.69841788138812,0.0012251238514795,0.99877562630637,0.0374958996956138,10.2634511920011
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",7,"Labridae",13,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",13,0.314431041479111,0.267369754612446,0.364618271589279,13.004305419812,4.07381484803931,0.00154254600358706,0.998458643109001,0.0469467733494326,12.702304554024
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",6,"Labridae",16,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",16,0.314431041479111,0.267369754612446,0.364618271589279,16.0017221679248,6.98793785435524,0.00110421527365994,0.998896394147694,0.0284394976543041,8.09354313582589
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",7,"Labridae",15,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",15,0.314431041479111,0.267369754612446,0.364618271589279,15.0025832518872,5.69841788138812,0.0012251238514795,0.99877562630637,0.0374958996956138,10.5956527455931
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",4,"Labridae",19,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",17.9,0.314431041479111,0.267369754612446,0.364618271589279,17.9000861083962,16.5154077233026,0.000921708393230632,0.999078716249475,0.00177956299559412,0.478433527026399
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",2,"Labridae",13,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",13,0.314431041479111,0.267369754612446,0.364618271589279,13.004305419812,4.07381484803931,0.00154254600358706,0.998458643109001,0.0469467733494326,12.7694621964077
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",7,"Labridae",12,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",12,0.314431041479111,0.267369754612446,0.364618271589279,12.0051665037744,3.49396892717762,0.00175470905009143,0.998246829551769,0.0480071502193056,12.7524577918752
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",6,"Labridae",12,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",12,0.314431041479111,0.267369754612446,0.364618271589279,12.0051665037744,3.49396892717762,0.00175470905009143,0.998246829551769,0.0480071502193056,13.3990591068353
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",5,"Labridae",14,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",14,0.314431041479111,0.267369754612446,0.364618271589279,14.0034443358496,4.78348890014473,0.00136905465009548,0.998631882077696,0.0435540073844294,12.1960036567722
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",5,"Labridae",15,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",15,0.314431041479111,0.267369754612446,0.364618271589279,15.0025832518872,5.69841788138812,0.0012251238514795,0.99877562630637,0.0374958996956138,9.98054220451116
"Halichoeres marginatus","Cousin Carbonate",1994,"Carbonate",5,"Labridae",11,0.0215,3,-4.332921,55.658746,"Protected",18,28,"InvMob","BtPlDw","Otolth",11,0.314431041479111,0.267369754612446,0.364618271589279,11.0060275877369,3.00371618653814,0.00201857411138127,0.997983461839204,0.0470680906226235,12.9886460619959
